Departamento,Provincia,Distrito,Oficina Regional,ID,x,y,Establecimiento Penitenciario,Hacinamiento,Descripción,vinculo,Dirección,Creación data,Creador,OBJECTID,Global,x2,y2
Arequipa,Arequipa,Characato,Sur Arequipa,5,-71.50462341,-16.48618698,Arequipa,SI,Fue construido durante los años de 1985 a 1987. A partir del 01 de marzo del 2008 el INPE se hace cargo de la seguridad interna y externa del E.P Arequipa.,https://www.inpe.gob.pe/region-sur/item/80-e-p-arequipa.html,Quebrada La Chuca S/N.,4/23/2021 12:00:00 AM,INPE_2020,56,ff7101a1-0443-4eb4-a886-b3cb016832a0,-71.5046220000053,-16.486185999884
Arequipa,Camana,Mariscal Caceres,Sur Arequipa,12,-72.77889252,-16.59558868,Camaná,SI,"El terreno es semi-plano con presencia accidentada relativa en la parte posterior, es decir elevada a la altura del cerco perimétrico. El área total de terreno es de 18,707.64 m2 y su área construida es de 4,356.50 m2 .",https://www.inpe.gob.pe/region-sur/item/84-e-p-camana.html,"Av. Bolognesi Mz. E, Lt. I, Zona C. Anexo Pucchun.",4/23/2021 12:00:00 AM,INPE_2020,57,e9665e88-6bd8-410e-9fea-123ae77a28f4,-72.7788889996276,-16.5955889998324
Moquegua,Mariscal Nieto,Samegua,Sur Arequipa,47,-70.89578247,-17.17687988,Moquegua,SI,Se encuentra ubicado en el departamento de Moquegua en la provincia de Mariscal Nieto distrito de Samegua.,https://www.inpe.gob.pe/region-sur/item/86-e-p-moquegua.html,Av. Andrés A. Caceres S/N.,4/23/2021 12:00:00 AM,INPE_2020,58,19bd3209-3b51-4829-aac8-f1b2f28be527,-70.9075909996249,-17.1870729998191
Arequipa,Arequipa,Socabaya,Sur Arequipa,6,-71.5059433,-16.48691177,Mujeres de Arequipa,SI,"Las instalaciones del Establecimiento Penitenciario de Mujeres Socabaya, están construidas en un terreno de características irregulares, ligeramente accidentado, presentando en su relieve: quebradas, cerro y llanuras propias de la zona semirural.",https://www.inpe.gob.pe/region-sur/item/81-e-p-mujeres-arequipa.html,Quebrada La Chuca S/N.,4/23/2021 12:00:00 AM,INPE_2020,59,fa1b127c-df98-4a14-9082-fb8d058eded1,-71.5059419997235,-16.4869110000426
Tacna,Tacna,Pocollay,Sur Arequipa,61,-70.21585846,-17.99827576,Mujeres de Tacna,SI,Se encuentra ubicado en el departamento de Tacna en la provincia de Tacna del distrito de Pocollay.,https://www.inpe.gob.pe/region-sur/item/83-e-p-mujeres-tacna.html,Prolong. Av. Hnos. Reynoso S/N,4/23/2021 12:00:00 AM,INPE_2020,60,5c7ad2ab-9885-44aa-8e00-baf439af9d6d,-70.2158580000466,-17.9982750003909
Tacna,Tacna,Pocollay,Sur Arequipa,60,-70.21613312,-17.99827576,Tacna,SI,Se encuentra ubicado en el departamento de Tacna en la provincia de Tacna del distrito de Pocollay.,https://www.inpe.gob.pe/region-sur/item/82-e-p-tacna.html,Av. Internacional S/N.,4/23/2021 12:00:00 AM,INPE_2020,61,46663d79-21f7-4165-accd-b0c9589d8845,-70.2161330001378,-17.9982750003909
Apurimac,Abancay,Abancay,Sur Oriente Cusco,1,-72.87757874,-13.63534737,Abancay,SI,El penal perteneció a la municipalidad cuyo local fue destinado para almacenar granos y utilizado como caballeriza de las haciendas aledañas.,https://www.inpe.gob.pe/region-sur-oriente/item/91-e-p-abancay.html,Jr. Diaz Barcena N° 104,4/23/2021 12:00:00 AM,INPE_2020,62,de4e9110-00e9-467f-a53e-aebf721f02ea,-72.8775780001246,-13.6353470001639
Apurimac,Andahuaylas,Andahuaylas,Sur Oriente Cusco,4,-73.39556122,-13.65915585,Andahuaylas,SI,"Está construido en una total de 4,200 metros cuadrados y ubicado en  jirón Ayacucho N° 685, distrito y provincia de Andahuaylas, departamento de Apurímac.",https://www.inpe.gob.pe/region-sur-oriente/item/92-e-p-andahuaylas.html,Jr. Ayacucho S/N. (costado Mod.Básico Justicia),4/23/2021 12:00:00 AM,INPE_2020,63,418988ff-590f-4784-af36-bb1fda514b3c,-73.3955640002783,-13.6591560000493
Cusco,Cusco,San Jeronimo,Sur Oriente Cusco,27,-71.89287567,-13.54446125,Cusco,SI,"Se encuentra ubicado en la Prolongación Av. La Cultura en el Km. 5.5, del Distrito del San Jerónimo Provincia y Departamento del Cusco, con un área de aproximadamente 9,300 m2 y área de construcción de 8,500 m2 y viene funcionando desde el año de 1",https://www.inpe.gob.pe/region-sur-oriente/item/87-e-p-cusco-varones.html,Av. La Cultura Km. 5.5 San Jerónimo,4/23/2021 12:00:00 AM,INPE_2020,64,d91c631a-3ef1-4f81-a473-78f9343e4a0f,-71.8928749997814,-13.5444609997753
Cusco,Cusco,San Jeronimo,Sur Oriente Cusco,28,-71.89205933,-13.54229736,Mujeres de Cusco,NO,"La construcción del Establecimiento Penitenciario Mujeres Cusco, habilitado y entregado al INPE en el mes de abril de 1988 y entra en funcionamiento a partir del mes de abril del año 1989.",https://www.inpe.gob.pe/region-sur-oriente/item/88-e-p-cusco-mujeres.html,Av. La Cultura Km. 5.5 San Jerónimo,4/23/2021 12:00:00 AM,INPE_2020,65,b72dd547-a6d3-4ee6-a3b8-371dffc7509c,-71.8920579998767,-13.5422969998066
Madre De Dios,Tambopata,Tambopata,Sur Oriente Cusco,53,-69.20028687,-12.59895325,Puerto Maldonado,SI,"Está construido en una total de 19,686 metros cuadrados y está ubicado en la prolongación la joya S/N, distrito Santa Ana, provincia de Tambopata, departamento de Madre de Dios.",https://www.inpe.gob.pe/region-sur-oriente/item/93-e-p-tambopata-pto.html,Carretera La Joya Km. 3.5,4/23/2021 12:00:00 AM,INPE_2020,66,6dde16b1-a6ce-4452-96a5-8d35cd33eacf,-69.2002889999374,-12.5989530001808
Cusco,La Convencion,Santa Ana,Sur Oriente Cusco,55,-72.70090485,-12.87080574,Quillabamba,SI,"La construcción del establecimiento penal de Quillabamba data desde el año 1961, donde ha sido adecuado la infraestructura en base a una construcción existente anteriormente designado como almacén de acopio de café.",https://www.inpe.gob.pe/region-sur-oriente/item/90-e-p-quillabamba.html,Av. Nicanor Larrea S/N.,4/23/2021 12:00:00 AM,INPE_2020,67,43535ef0-5be0-4730-89e7-93b1932eb016,-72.7009029996736,-12.8708060001967
Cusco,Canchis,Sicuani,Sur Oriente Cusco,58,-71.22612,-14.2714529,Sicuani,SI,Su construcción data desde el año 1948. Fue ocupada en el año 1956 y posteriormente inició operaciones.,https://www.inpe.gob.pe/region-sur-oriente/item/89-e-p-sicuani.html,Av. Centenario N° 530,4/23/2021 12:00:00 AM,INPE_2020,68,ccd72be0-fcb4-4962-ba95-4e7f26871f42,-71.2343659998909,-14.2737530002008
Lima,Lima,Chorrillos,Lima,68,-77.0191650391,-12.1617650986,Virgen de La Merced,NO,Se encuentra ubicado en el departamento de Lima en la provincia de Lima del distrito de Chorrillos., ,"Puerta de la Primera Brigada de Aviacion del Ejercito, primera Cdra. De la Av. El sol.",4/23/2021 12:00:00 AM,INPE_2020,69,1358713b-56a9-4526-a4cb-1c27fdd2617f,-77.0098869997852,-12.1657889995626
