Departamento,Provincia,Distrito,Oficina Regional,ID,x,y,Establecimiento Penitenciario,Hacinamiento,Descripción,vinculo,Dirección,Creación data,Creador,OBJECTID,Global,x2,y2
Junin,Concepcion,Concepcion,Centro Huancayo,26,-75.30861664,-11.93417263,Mujeres de Concepción,NO,"Se ubica en una zona netamente de sembrío de diversos productos, actualmente no se encuentra dentro del casco urbano, el acceso principal al Establecimiento Penitenciario es mediante una vía nivelada (no asfaltada).", ,Barrio Tambo Alapa S/N.,4/23/2021 12:00:00 AM,INPE_2020,12,8a5827c1-5c97-49ff-b261-45be93974b3d,-75.30862599989,-11.9341790000607
Junin,Satipo,Rio Negro,Centro Huancayo,56,-74.65701294,-11.19975376,Rio Negro,SI,"Se encuentra ubicado dentro del área rural de Rio Negro, a unos 700 metros de la carretera o avenida principal.", ,Jr. Augusto B. Leguía N° 767,4/23/2021 12:00:00 AM,INPE_2020,13,290ca9cc-74ba-46c8-b5a7-6861fa525b97,-74.6570220000652,-11.1997609997703
Junin,Tarma,Tarma,Centro Huancayo,63,-75.69145203,-11.42222786,Tarma,SI,"El establecimiento penal de Tarma se encuentra en una zona de tierra firme, existiendo en la parte sur, terrenos agrícolas y cerros aledaños.",https://www.inpe.gob.pe/region-centro/item/22-e-p-tarma.html,Jr. Leoncio Prado N° 123,4/23/2021 12:00:00 AM,INPE_2020,14,a1930e4a-ddc2-4aab-8d4c-7acafaff1a13,-75.6914700002403,-11.4220090001152
Lima,Lima,Ancon,Lima,2,-77.12268829,-11.8099308,Ancón I,SI,El nuevo penal de máxima seguridad de Piedras Gordas está ubicado en el kilómetro 39 de la carretera Panamericana Norte.,https://www.inpe.gob.pe/region-lima/item/105-e-p-ancon-i.html,Panamericana Norte Km. 38,4/23/2021 12:00:00 AM,INPE_2020,15,0e37b1a9-3c9c-4b3a-9ae4-1eebf0cfcfcf,-77.121652999886,-11.8106990002586
Lima,Lima,Ancon,Lima,3,-77.1178894,-11.81369686,Ancón II,NO,"El Establecimiento Penitenciario Ancón ll, su construcción se inicia en el Año 2009 a 2010, siendo Inaugurado el 10 de noviembre del 2010.",https://www.inpe.gob.pe/region-lima/item/104-e-p-m-ancon-ii.html,Panamericana Norte Km. 38,4/23/2021 12:00:00 AM,INPE_2020,16,18eeb831-472e-45ed-b86f-90d36c0086cb,-77.118421000129,-11.8125080000441
Lima,Lima,Chorrillos,Lima,23,-77.01904297,-12.17440224,Anexo De Mujeres De Chorrillos,SI,"Entró en funcionamiento el 05 de abril de 1992, recepcionando internas procedentes del Establecimiento Penitenciario de Régimen Cerrado Especial Miguel Castro Castro.",https://www.inpe.gob.pe/region-lima/item/108-e-p-chorrillos-anexo.html,Av. Defensores del Morro (ex huaylas) Cdra. 10 S/N.,4/23/2021 12:00:00 AM,INPE_2020,17,fb060539-4d2b-4743-a4a9-bef1e8b9e9a7,-77.0189979999577,-12.1740469999691
Lima,Lima,Ate,Lima,9,-76.91361237,-12.04262543,Barbadillo,NO,Este penal es de mínima seguridad y se encuentra bajo la custodia del personal de seguridad del INPE que laboran en este establecimiento penitenciario.,https://www.inpe.gob.pe/region-lima/item/111-e-p-barbadillo.html,S/N Ex Fundo Barbadillo,4/23/2021 12:00:00 AM,INPE_2020,18,8a343e67-9386-4503-93ec-e0039062f00a,-76.9136219995556,-12.0426340003588
Lima,Callao,Callao,Lima,11,-77.13677979,-12.01876926,Callao,SI,Se encuentra ubicado en el departamento de Lima en la provincia Constitucional del Callao del distrito del Cercado del Callao.,https://www.inpe.gob.pe/region-lima/item/117-e-p-callao.html,Prolong. Centenario S/N. AA.HH. Acapulco.,4/23/2021 12:00:00 AM,INPE_2020,19,1aada2b8-db2f-4033-8c31-ff4bf7139bf1,-77.1361280001071,-12.0184149995525
Lima,Cañete,Nuevo Imperial,Lima,13,-76.29727936,-13.06154442,Cañete,SI,"El Establecimiento Penitenciario de Cañete fue construido e inaugurado en el año 1998. El terreno presenta característica topográfica Semi-accidentadas, siendo los terrenos colindantes con terrenos de cultivo terrenos ganaderos .",https://www.inpe.gob.pe/region-lima/item/110-e-p-canete.html,Cantera Alta,4/23/2021 12:00:00 AM,INPE_2020,20,e60e9ebd-4bdb-41af-8ae4-b5fe59283d0a,-76.295658999763,-13.0623160003831
Lima,Callao,Callao,Lima,14,-77.13726044,-12.03694153,Cerec - Base Naval,NO,Se encuentra ubicado en el departamento de Lima en la provincia Constitucional del Callao del distrito del Cercado del Callao., , ,4/23/2021 12:00:00 AM,INPE_2020,21,69e23ff2-5a44-4222-9d00-0bd59a9c77ab,-77.1362270001759,-12.036408000129
